,ENTIDAD,estado,MUN,NOM_MUN,LOC,nombre,longitud,latitud,pob_total,pob_masculina,pob_femenina
71658,12,Guerrero,46,Ometepec,1,Ometepec," 98°24'15.917"" W","16°41'06.321"" N",27607,13002.0,14605.0
65673,11,Guanajuato,32,San José Iturbide,1,San José Iturbide,"100°23'08.593"" W","21°00'02.959"" N",27593,13304.0,14289.0
13700,5,Coahuila de Zaragoza,6,Castaños,1,Castaños,"101°25'50.000"" W","26°47'07.000"" N",27314,13611.0,13703.0
100006,16,Michoacán de Ocampo,52,Lázaro Cárdenas,137,La Orilla,"102°13'39.163"" W","17°59'39.655"" N",27291,13727.0,13564.0
90119,14,Jalisco,121,Zapotiltic,1,Zapotiltic,"103°24'45.000"" W","19°37'32.000"" N",27260,13463.0,13797.0
158621,27,Tabasco,8,Huimanguillo,1,Huimanguillo," 93°23'26.769"" W","17°50'06.628"" N",27182,12857.0,14325.0
15098,5,Coahuila de Zaragoza,22,Nava,1,Nava,"100°46'03.193"" W","28°25'18.749"" N",26963,13447.0,13516.0
104109,16,Michoacán de Ocampo,106,Yurécuaro,1,Yurécuaro,"102°16'56.731"" W","20°20'27.920"" N",26691,12949.0,13742.0
56497,10,Durango,23,Pueblo Nuevo,1,El Salto,"105°21'36.691"" W","23°46'41.342"" N",26678,12945.0,13733.0
127230,21,Puebla,41,Cuautlancingo,27,San Jacinto," 98°15'29.928"" W","19°09'09.860"" N",26628,12883.0,13745.0
192810,32,Zacatecas,24,Loreto,1,Loreto,"101°59'11.630"" W","22°16'19.872"" N",26287,12805.0,13482.0
183319,30,Veracruz de Ignacio de la Llave,160,Álamo Temapache,1,Álamo," 97°40'31.913"" W","20°55'01.713"" N",26236,12616.0,13620.0
189402,31,Yucatán,56,Oxkutzcab,1,Oxkutzcab," 89°25'07.506"" W","20°18'06.957"" N",26175,12622.0,13553.0
78940,13,Hidalgo,69,Tizayuca,44,Haciendas de Tizayuca," 98°57'34.494"" W","19°52'26.816"" N",26122,12686.0,13436.0
189318,31,Yucatán,52,Motul,1,Motul de Carrillo Puerto," 89°17'02.129"" W","21°05'43.982"" N",26081,12743.0,13338.0
52282,9,Ciudad de México,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco," 99°19'32.454"" W","19°19'51.617"" N",26042,12626.0,13416.0
114646,20,Oaxaca,14,Ciudad Ixtepec,1,Ciudad Ixtepec," 95°05'55.365"" W","16°34'03.714"" N",26015,12280.0,13735.0
113875,19,Nuevo León,45,Salinas Victoria,550,Los Pilares,"100°14'34.688"" W","25°54'45.875"" N",25995,13208.0,12787.0
86566,14,Jalisco,78,San Miguel el Alto,1,San Miguel el Alto,"102°23'53.000"" W","21°01'50.000"" N",25925,12543.0,13382.0
72116,12,Guerrero,50,Pungarabato,1,Ciudad Altamirano,"100°40'05.667"" W","18°21'44.182"" N",25850,12582.0,13268.0
67774,11,Guanajuato,46,Yuriria,1,Yuriria,"101°07'51.360"" W","20°12'45.876"" N",25845,12374.0,13471.0
174160,30,Veracruz de Ignacio de la Llave,77,Isla,1,Isla," 95°31'39.461"" W","18°01'39.050"" N",25608,12128.0,13480.0
159547,27,Tabasco,14,Paraíso,1,Paraíso," 93°12'51.253"" W","18°23'44.772"" N",25555,12358.0,13197.0
106970,18,Nayarit,6,Ixtlán del Río,1,Ixtlán del Río,"104°22'08.080"" W","21°02'06.199"" N",25477,12177.0,13300.0
127468,21,Puebla,45,Chalchicomula de Sesma,1,Ciudad Serdán," 97°26'54.585"" W","18°59'17.736"" N",25468,11886.0,13582.0
19411,7,Chiapas,9,Arriaga,1,Arriaga," 93°53'58.104"" W","16°14'09.834"" N",25366,12021.0,13345.0
147405,25,Sinaloa,11,Guasave,132,Gabriel Leyva Solano (Benito Juárez),"108°38'18.911"" W","25°39'51.591"" N",25157,12575.0,12582.0
73128,12,Guerrero,58,Teloloapan,1,Teloloapan," 99°52'10.462"" W","18°22'18.513"" N",25148,11712.0,13436.0
194393,32,Zacatecas,42,Sombrerete,1,Sombrerete,"103°38'28.832"" W","23°37'52.960"" N",25068,12292.0,12776.0
73391,12,Guerrero,61,Tixtla de Guerrero,1,Tixtla de Guerrero," 99°23'53.777"" W","17°34'00.207"" N",24920,11690.0,13230.0
83251,14,Jalisco,46,Jalostotitlán,1,Jalostotitlán,"102°27'40.000"" W","21°10'07.000"" N",24890,12139.0,12751.0
64120,11,Guanajuato,26,Romita,1,Romita,"101°31'01.622"" W","20°52'16.374"" N",24757,11930.0,12827.0
99355,16,Michoacán de Ocampo,45,Jiquilpan,1,Jiquilpan de Juárez,"102°43'06.828"" W","19°59'22.989"" N",24662,11697.0,12965.0
87582,14,Jalisco,91,Teocaltiche,1,Teocaltiche,"102°34'13.000"" W","21°26'04.000"" N",24580,11815.0,12765.0
139370,24,San Luis Potosí,16,Ebano,1,Ebano," 98°22'40.092"" W","22°12'44.421"" N",24454,11763.0,12691.0
117109,20,Oaxaca,107,San Antonio de la Cal,1,San Antonio de la Cal," 96°41'57.423"" W","17°01'52.728"" N",24419,11497.0,12922.0
81993,14,Jalisco,30,Chapala,1,Chapala,"103°11'23.000"" W","20°17'36.000"" N",24352,11725.0,12627.0
167465,29,Tlaxcala,33,Tlaxcala,8,Ocotlán," 98°13'42.695"" W","19°19'02.624"" N",24342,11393.0,12949.0
26366,7,Chiapas,52,Las Margaritas,1,Las Margaritas," 91°58'53.646"" W","16°18'57.410"" N",24326,11619.0,12707.0
108985,18,Nayarit,20,Bahía de Banderas,53,Mezcales,"105°16'57.289"" W","20°43'42.683"" N",24309,12135.0,12174.0
141956,24,San Luis Potosí,37,Tamazunchale,1,Tamazunchale," 98°47'29.463"" W","21°15'45.856"" N",24258,11424.0,12834.0
60842,11,Guanajuato,9,Comonfort,1,Comonfort,"100°45'40.328"" W","20°43'12.171"" N",24228,11367.0,12861.0
170733,30,Veracruz de Ignacio de la Llave,39,Coatzacoalcos,147,Fraccionamiento Ciudad Olmeca," 94°33'08.730"" W","18°09'07.872"" N",24085,11797.0,12288.0
106245,17,Morelos,35,Xoxocotla,1,Xoxocotla Centro," 99°14'41.621"" W","18°41'11.662"" N",24073,11996.0,12077.0
75539,13,Hidalgo,13,Atotonilco de Tula,29,Paseos de la Pradera," 99°13'37.395"" W","19°53'49.090"" N",23867,11584.0,12283.0
98919,16,Michoacán de Ocampo,38,Huetamo,1,Huetamo de Núñez,"100°53'59.009"" W","18°37'35.133"" N",23836,11588.0,12248.0
88529,14,Jalisco,97,Tlajomulco de Zúñiga,874,La Nueva Esperanza II (Los Cantaros) [Fraccionamiento],"103°20'12.613"" W","20°30'27.504"" N",23735,11677.0,12058.0
88554,14,Jalisco,98,San Pedro Tlaquepaque,14,Santa Anita,"103°26'24.000"" W","20°33'02.000"" N",23531,11327.0,12204.0
16246,5,Coahuila de Zaragoza,31,San Buenaventura,1,San Buenaventura,"101°33'00.103"" W","27°03'36.926"" N",23413,11529.0,11884.0
71863,12,Guerrero,48,Petatlán,1,Petatlán,"101°16'28.387"" W","17°32'17.544"" N",23363,11236.0,12127.0
170693,30,Veracruz de Ignacio de la Llave,39,Coatzacoalcos,21,Allende," 94°23'48.314"" W","18°09'20.922"" N",23351,11429.0,11922.0
48569,8,Chihuahua,45,Meoqui,1,Pedro Meoqui,"105°28'49.048"" W","28°16'04.068"" N",23140,11447.0,11693.0
157903,27,Tabasco,3,Centla,1,Frontera," 92°39'07.874"" W","18°31'48.399"" N",23024,10954.0,12070.0
158213,27,Tabasco,4,Centro,166,Playas del Rosario (Subteniente García)," 92°55'58.336"" W","17°51'10.601"" N",22934,10993.0,11941.0
127729,21,Puebla,53,Chignahuapan,1,Ciudad de Chignahuapan," 98°01'51.511"" W","19°50'17.604"" N",22904,10818.0,12086.0
136848,23,Quintana Roo,8,Solidaridad,308,Puerto Aventuras," 87°14'06.689"" W","20°30'46.015"" N",22878,11582.0,11296.0
169876,30,Veracruz de Ignacio de la Llave,26,Banderilla,1,Banderilla," 96°56'27.184"" W","19°35'29.784"" N",22760,10635.0,12125.0
82616,14,Jalisco,37,El Grullo,1,El Grullo,"104°12'56.000"" W","19°48'27.000"" N",22738,11019.0,11719.0
77889,13,Hidalgo,51,Mineral de la Reforma,27,La Providencia Siglo XXI," 98°43'10.034"" W","20°03'53.394"" N",22705,10851.0,11854.0
40071,8,Chihuahua,2,Aldama,1,Juan Aldama,"105°54'40.653"" W","28°50'18.170"" N",22568,11019.0,11549.0
68413,12,Guerrero,7,Arcelia,1,Arcelia,"100°17'02.227"" W","18°18'56.970"" N",22534,10732.0,11802.0
171298,30,Veracruz de Ignacio de la Llave,48,Cosoleacaque,1,Cosoleacaque," 94°38'08.499"" W","17°59'54.942"" N",22521,10636.0,11885.0
111897,19,Nuevo León,25,General Zuazua,3,Valle de Santa Elena,"100°08'36.219"" W","25°51'16.736"" N",22496,11482.0,11014.0
158549,27,Tabasco,7,Emiliano Zapata,1,Emiliano Zapata," 91°45'54.293"" W","17°44'40.496"" N",22469,10555.0,11914.0
109634,19,Nuevo León,6,Apodaca,388,Ex-Hacienda Santa Rosa,"100°12'53.480"" W","25°47'46.550"" N",22464,11327.0,11137.0
147407,25,Sinaloa,11,Guasave,138,Juan José Ríos,"108°49'15.021"" W","25°45'18.456"" N",22421,11057.0,11364.0
193682,32,Zacatecas,36,Ojocaliente,1,Ojocaliente,"102°15'10.562"" W","22°34'19.080"" N",22295,10605.0,11690.0
68671,12,Guerrero,11,Atoyac de Álvarez,1,Atoyac de Álvarez,"100°25'59.266"" W","17°12'45.860"" N",22271,10406.0,11865.0
134843,22,Querétaro,14,Querétaro,108,Santa Rosa Jáuregui,"100°26'50.459"" W","20°44'31.840"" N",22168,10845.0,11323.0
49910,8,Chihuahua,52,Ojinaga,1,Manuel Ojinaga,"104°24'56.393"" W","29°33'52.202"" N",22066,10835.0,11231.0
77979,13,Hidalgo,51,Mineral de la Reforma,148,Paseos de Chavarría," 98°43'16.444"" W","20°02'42.769"" N",22023,10612.0,11411.0
108585,18,Nayarit,18,Tuxpan,1,Tuxpan,"105°17'53.114"" W","21°56'41.245"" N",22013,10899.0,11114.0
105915,17,Morelos,28,Xochitepec,1,Xochitepec," 99°13'53.266"" W","18°46'54.716"" N",21862,10607.0,11255.0
85914,14,Jalisco,70,El Salto,21,San José el Verde (El Verde),"103°16'34.000"" W","20°33'31.000"" N",21834,11013.0,10821.0
62502,11,Guanajuato,18,Jaral del Progreso,1,Jaral del Progreso,"101°03'50.310"" W","20°22'35.460"" N",21756,10522.0,11234.0
24100,7,Chiapas,34,Frontera Comalapa,1,Frontera Comalapa," 92°08'27.780"" W","15°39'36.590"" N",21727,10312.0,11415.0
168693,30,Veracruz de Ignacio de la Llave,10,Altotonga,1,Altotonga," 97°14'43.894"" W","19°45'58.136"" N",21640,9664.0,11976.0
175606,30,Veracruz de Ignacio de la Llave,92,Xico,1,Xico," 97°00'26.038"" W","19°25'16.570"" N",21585,10342.0,11243.0
134431,22,Querétaro,11,El Marqués,58,Saldarriaga,"100°17'24.295"" W","20°37'43.480"" N",21516,10805.0,10711.0
189527,31,Yucatán,58,Peto,1,Peto," 88°55'26.347"" W","20°07'33.306"" N",21456,10590.0,10866.0
173515,30,Veracruz de Ignacio de la Llave,68,Fortín,1,Fortín de las Flores," 96°59'57.644"" W","18°54'13.187"" N",21391,9987.0,11404.0
13221,5,Coahuila de Zaragoza,3,Allende,1,Allende,"100°51'15.000"" W","28°20'50.000"" N",21376,10600.0,10776.0
106169,17,Morelos,31,Zacatepec,1,Zacatepec de Hidalgo," 99°11'39.404"" W","18°39'19.469"" N",21375,10169.0,11206.0
133924,22,Querétaro,6,Corregidora,142,Venceremos,"100°23'57.968"" W","20°33'17.190"" N",21352,10359.0,10993.0
